# timestamp_ms,seq,id,ext,len,d0,d1,d2,d3,d4,d5,d6,d7
# CAN raw dump: ON
$T,97124,0.00,27.00,nan,12.00,0.68,21.51,994.38,158.32,nan,50.00
$T,97224,0.00,27.00,nan,12.00,0.68,21.51,994.38,158.33,nan,50.00
$T,97324,0.00,27.00,nan,12.00,0.68,21.51,994.38,158.32,nan,50.00
$T,97424,0.00,27.00,nan,12.00,0.68,21.51,994.37,158.36,nan,50.00
$T,97524,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.46,nan,50.00
$T,97624,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.47,nan,50.00
$T,97724,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.48,nan,50.00
$T,97824,0.00,27.00,nan,12.00,0.68,21.51,994.37,158.41,nan,50.00
$T,97924,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.47,nan,50.00
$T,98024,0.00,27.00,nan,12.00,0.68,21.50,994.35,158.57,nan,50.00
$T,98124,0.00,27.00,nan,12.00,0.68,21.50,994.35,158.55,nan,50.00
$T,98224,0.00,27.00,nan,12.00,0.68,21.51,994.35,158.53,nan,50.00
$T,98324,0.00,27.00,nan,12.00,0.68,21.51,994.35,158.55,nan,50.00
$T,98424,0.00,27.00,nan,12.00,0.68,21.51,994.35,158.54,nan,50.00
$T,98524,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.44,nan,50.00
$T,98624,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.47,nan,50.00
$T,98724,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.47,nan,50.00
$T,98824,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.51,nan,50.00
$T,98924,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.50,nan,50.00
$T,99024,0.00,27.00,nan,12.00,0.68,21.51,994.37,158.43,nan,50.00
$T,99124,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.46,nan,50.00
$T,99224,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.49,nan,50.00
$T,99324,0.00,27.00,nan,12.00,0.68,21.51,994.35,158.53,nan,50.00
$T,99424,0.00,27.00,nan,12.00,0.68,21.50,994.35,158.55,nan,50.00
$T,99524,0.00,27.00,nan,12.00,0.68,21.50,994.35,158.56,nan,50.00
$T,99624,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.45,nan,50.00
$T,99724,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.44,nan,50.00
$T,99824,0.00,27.00,nan,12.00,0.68,21.51,994.37,158.42,nan,50.00
$T,99924,0.00,27.00,nan,12.00,0.68,21.51,994.37,158.40,nan,50.00
$T,100024,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.45,nan,50.00
$T,100124,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.45,nan,50.00
$T,100224,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.43,nan,50.00
$T,100324,0.00,27.00,nan,12.00,0.68,21.51,994.37,158.35,nan,50.00
$T,100424,0.00,27.00,nan,12.00,0.68,21.51,994.37,158.36,nan,50.00
$T,100524,0.00,27.00,nan,12.00,0.68,21.51,994.37,158.35,nan,50.00
$C,100584,2159,0x18EEFF00,1,8,08,CF,60,06,00,00,00,00
$C,101125,2192,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$C,101145,2193,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,101145,2194,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$C,101156,2195,0x18FEF100,1,8,3F,00,00,FF,FF,FF,FF,FF
$C,101156,2196,0x18F00500,1,8,FF,FF,FF,FF,20,2D,FF,FF
$C,101157,2197,0x18FEF200,1,8,00,00,00,FB,00,00,00,FF
$C,101165,2198,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,101165,2199,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$C,101185,2200,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,101185,2201,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$C,101205,2202,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,101205,2203,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$T,101224,0.00,27.00,nan,12.00,0.68,21.51,994.38,158.27,nan,50.00
$C,101225,2204,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,101225,2205,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$C,101245,2206,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,101245,2207,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$C,101255,2208,0x18FEF100,1,8,3F,00,00,FF,FF,FF,FF,FF
$C,101256,2209,0x10FF6500,1,8,FC,FF,FF,FF,FF,FF,FF,FF
$C,101257,2210,0x18F00500,1,8,FF,FF,FF,FF,20,2D,FF,FF
$C,101257,2211,0x18FEF200,1,8,00,00,00,FB,00,00,00,FF
$C,101265,2212,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,101265,2213,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$C,101285,2214,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,101285,2215,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$C,101305,2216,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,101305,2217,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$T,101324,0.00,27.00,nan,12.00,0.68,21.51,994.39,158.24,nan,50.00
$C,101325,2218,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,101325,2219,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$C,101345,2220,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,101345,2221,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$C,101355,2222,0x18FEF100,1,8,3F,00,00,FF,FF,FF,FF,FF
$C,101356,2223,0x18F00500,1,8,FF,FF,FF,FF,20,2D,FF,FF
$C,101357,2224,0x18F00600,1,8,FF,FF,FF,FF,FF,FF,FF,FF
$C,101357,2225,0x18FEF200,1,8,00,00,00,FB,00,00,00,FF
$C,101358,2226,0x1CFDDF00,1,8,FE,FF,FF,FF,FF,FF,FF,FF
$C,101358,2227,0x1CFF6A00,1,8,FC,FF,FF,FF,FF,FF,FF,FF
$C,101365,2228,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
