# timestamp_ms,seq,id,ext,len,d0,d1,d2,d3,d4,d5,d6,d7
$T,1099471,0.00,22.00,nan,12.00,0.68,20.79,994.34,158.67,nan,50.00
$T,1099571,0.00,22.00,nan,12.00,0.68,20.79,994.34,158.65,nan,50.00
$T,1099671,0.00,22.00,nan,12.00,0.68,20.79,994.34,158.64,nan,50.00
$T,1099771,0.00,23.00,nan,12.00,0.68,20.79,994.33,158.73,nan,50.00
$T,1099871,0.00,23.00,nan,12.00,0.68,20.79,994.33,158.69,nan,50.00
$T,1099971,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.68,nan,50.00
$T,1100071,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.67,nan,50.00
$T,1100171,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.64,nan,50.00
$T,1100271,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.61,nan,50.00
$T,1100371,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.55,nan,50.00
$T,1100471,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.58,nan,50.00
$T,1100571,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.65,nan,50.00
$T,1100671,0.00,23.00,nan,12.00,0.68,20.79,994.33,158.69,nan,50.00
$T,1100771,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.60,nan,50.00
$T,1100871,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.64,nan,50.00
$T,1100971,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.60,nan,50.00
$T,1101071,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.60,nan,50.00
$T,1101171,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.63,nan,50.00
$T,1101271,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.54,nan,50.00
$T,1101371,0.00,23.00,nan,12.00,0.68,20.79,994.36,158.46,nan,50.00
$T,1101471,0.00,23.00,nan,12.00,0.68,20.79,994.37,158.43,nan,50.00
$T,1101571,0.00,23.00,nan,12.00,0.68,20.79,994.36,158.50,nan,50.00
$T,1101671,0.00,23.00,nan,12.00,0.68,20.79,994.36,158.51,nan,50.00
$T,1101771,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.52,nan,50.00
$T,1101871,0.00,23.00,nan,12.00,0.68,20.79,994.36,158.48,nan,50.00
$T,1101971,0.00,23.00,nan,12.00,0.68,20.79,994.36,158.47,nan,50.00
$T,1102071,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.61,nan,50.00
$T,1102171,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.61,nan,50.00
$T,1102271,0.00,23.00,nan,12.00,0.68,20.79,994.36,158.51,nan,50.00
$T,1102371,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.59,nan,50.00
$T,1102471,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.66,nan,50.00
$T,1102571,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.58,nan,50.00
$T,1102671,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.56,nan,50.00
$T,1102771,0.00,23.00,nan,12.00,0.68,20.79,994.36,158.51,nan,50.00
$T,1102871,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.63,nan,50.00
$T,1102971,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.66,nan,50.00
$T,1103071,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.59,nan,50.00
$T,1103171,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.56,nan,50.00
$T,1103271,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.63,nan,50.00
$T,1103371,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.60,nan,50.00
$T,1103471,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.62,nan,50.00
$T,1103571,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.61,nan,50.00
$T,1103671,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.65,nan,50.00
$T,1103771,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.56,nan,50.00
$T,1103871,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.54,nan,50.00
$T,1103971,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.56,nan,50.00
$T,1104071,0.00,23.00,nan,12.00,0.68,20.79,994.36,158.48,nan,50.00
$T,1104171,0.00,23.00,nan,12.00,0.68,20.79,994.36,158.50,nan,50.00
$T,1104271,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.55,nan,50.00
$T,1104371,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.60,nan,50.00
$T,1104471,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.59,nan,50.00
$T,1104571,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.57,nan,50.00
$T,1104671,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.54,nan,50.00
$T,1104771,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.54,nan,50.00
$T,1104871,0.00,23.00,nan,12.00,0.68,20.79,994.36,158.46,nan,50.00
$T,1104971,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.57,nan,50.00
$T,1105071,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.61,nan,50.00
$T,1105171,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.60,nan,50.00
$T,1105271,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.58,nan,50.00
$T,1105371,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.64,nan,50.00
$T,1105471,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.68,nan,50.00
$T,1105571,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.64,nan,50.00
$T,1105671,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.63,nan,50.00
$T,1105771,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.52,nan,50.00
$T,1105871,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.58,nan,50.00
$T,1105971,0.00,23.00,nan,12.00,0.68,20.79,994.35,158.58,nan,50.00
$T,1106071,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.65,nan,50.00
$T,1106171,0.00,23.00,nan,12.00,0.68,20.79,994.34,158.64,nan,50.00
$T,1106271,0.00,23.00,nan,12.00,0.68,20.79,994.33,158.70,nan,50.00
$T,1106371,0.00,23.00,nan,12.00,0.68,20.79,994.32,158.78,nan,50.00
$T,1106471,0.00,23.00,nan,12.00,0.68,20.79,994.32,158.78,nan,50.00
$T,1106571,0.00,23.00,nan,12.00,0.68,20.79,994.33,158.76,nan,50.00
$T,1106671,0.00,23.00,nan,12.40,0.68,20.80,994.34,158.68,nan,50.00
$T,1106771,0.00,23.00,nan,12.40,0.68,20.80,994.34,158.68,nan,50.00
$T,1106871,0.00,23.00,nan,12.40,0.68,20.80,994.34,158.61,nan,50.00
$T,1106971,0.00,23.00,nan,12.40,0.68,20.79,994.34,158.61,nan,50.00
$T,1107071,0.00,23.00,nan,12.40,0.68,20.80,994.35,158.59,nan,50.00
$T,1107171,0.00,23.00,nan,12.40,0.68,20.80,994.35,158.56,nan,50.00
$T,1107271,0.00,23.00,nan,12.40,0.68,20.80,994.35,158.57,nan,50.00
$T,1107371,0.00,23.00,nan,12.40,0.68,20.79,994.34,158.64,nan,50.00
$T,1107471,0.00,23.00,nan,12.40,0.68,20.80,994.35,158.52,nan,50.00
$T,1107571,0.00,23.00,nan,12.40,0.68,20.80,994.34,158.63,nan,50.00
$T,1107671,0.00,23.00,nan,12.40,0.68,20.80,994.35,158.59,nan,50.00
$T,1107771,0.00,24.00,nan,12.40,0.68,20.80,994.34,158.62,nan,50.00
$T,1107871,0.00,24.00,nan,12.40,0.68,20.80,994.34,158.60,nan,50.00
$T,1107971,0.00,24.00,nan,12.40,0.68,20.80,994.34,158.62,nan,50.00
$T,1108071,0.00,24.00,nan,12.40,0.68,20.80,994.35,158.55,nan,50.00
$T,1108171,0.00,24.00,nan,12.40,0.68,20.80,994.34,158.61,nan,50.00
$T,1108271,0.00,24.00,nan,12.40,0.68,20.80,994.34,158.61,nan,50.00
$T,1108371,0.00,24.00,nan,12.40,0.68,20.80,994.35,158.57,nan,50.00
$T,1108471,0.00,24.00,nan,12.40,0.68,20.80,994.34,158.65,nan,50.00
$T,1108571,0.00,24.00,nan,12.40,0.68,20.80,994.34,158.64,nan,50.00
$T,1108671,0.00,24.00,nan,12.40,0.68,20.80,994.34,158.63,nan,50.00
$T,1108771,0.00,24.00,nan,12.40,0.68,20.80,994.34,158.68,nan,50.00
$T,1108871,0.00,24.00,nan,12.40,0.68,20.80,994.35,158.58,nan,50.00
$T,1108971,0.00,24.00,nan,12.40,0.68,20.80,994.35,158.56,nan,50.00
$T,1109071,0.00,24.00,nan,12.40,0.68,20.80,994.34,158.61,nan,50.00
$T,1109171,0.00,24.00,nan,12.40,0.68,20.80,994.34,158.62,nan,50.00
$T,1109271,0.00,24.00,nan,12.40,0.68,20.81,994.35,158.53,nan,50.00
$T,1109371,0.00,24.00,nan,12.40,0.68,20.81,994.36,158.49,nan,50.00
$T,1109471,0.00,24.00,nan,12.40,0.68,20.81,994.36,158.46,nan,50.00
$T,1109571,0.00,24.00,nan,12.40,0.68,20.81,994.35,158.52,nan,50.00
$T,1109671,0.00,24.00,nan,12.40,0.68,20.80,994.35,158.59,nan,50.00
$T,1109771,0.00,24.00,nan,12.40,0.68,20.80,994.34,158.63,nan,50.00
$T,1109871,0.00,24.00,nan,12.40,0.68,20.80,994.34,158.65,nan,50.00
$T,1109971,0.00,24.00,nan,12.40,0.68,20.80,994.33,158.69,nan,50.00
$T,1110071,0.00,24.00,nan,12.40,0.68,20.80,994.34,158.64,nan,50.00
$T,1110171,0.00,24.00,nan,12.40,0.68,20.80,994.34,158.62,nan,50.00
$T,1110271,0.00,24.00,nan,12.40,0.68,20.80,994.34,158.68,nan,50.00
$T,1110371,0.00,24.00,nan,12.40,0.68,20.80,994.33,158.70,nan,50.00
$T,1110471,0.00,24.00,nan,12.40,0.68,20.80,994.34,158.67,nan,50.00
$T,1110571,0.00,24.00,nan,12.40,0.68,20.81,994.34,158.62,nan,50.00
$T,1110671,0.00,24.00,nan,12.40,0.68,20.81,994.35,158.58,nan,50.00
$T,1110771,0.00,24.00,nan,12.40,0.68,20.81,994.35,158.57,nan,50.00
$T,1110871,0.00,24.00,nan,12.40,0.68,20.81,994.35,158.57,nan,50.00
$T,1110971,0.00,24.00,nan,12.40,0.68,20.81,994.36,158.50,nan,50.00
$T,1111071,0.00,24.00,nan,12.40,0.68,20.81,994.36,158.50,nan,50.00
$T,1111171,0.00,24.00,nan,12.40,0.68,20.81,994.34,158.61,nan,50.00
$T,1111271,0.00,24.00,nan,12.40,0.68,20.81,994.35,158.52,nan,50.00
$T,1111371,0.00,24.00,nan,12.40,0.68,20.81,994.36,158.47,nan,50.00
$T,1111471,0.00,24.00,nan,12.40,0.68,20.81,994.35,158.52,nan,50.00
$T,1111571,0.00,24.00,nan,12.40,0.68,20.81,994.35,158.55,nan,50.00
